id,premises,paragraph,conclusion,question,label,arg,statements,depth
928,"['Once we know hair is produced by living cells in the hair follicles at the base of each hair, we also know that most people buy storage sheds to keep things in that they otherwise have no place to store.', 'It is not true that most people buy storage sheds to keep things in that they otherwise have no place to store.']","Once we know hair is produced by living cells in the hair follicles at the base of each hair, we also know that most people buy storage sheds to keep things in that they otherwise have no place to store. It is not true that most people buy storage sheds to keep things in that they otherwise have no place to store.",Those that suggest hair is produced by living cells in the hair follicles at the base of each hair are wrong.,Those that suggest hair is produced by living cells in the hair follicles at the base of each hair are wrong.,TRUE,"Modus Tonens: 
If [0], then [1]. 
Not [1]. 
Therefore, Not [0]..","{0: 'Hair is produced by living cells in the hair follicles at the base of each hair.', 1: 'Most people buy storage sheds to keep things in that they otherwise have no place to store.'}",1
146,"['One may reasonably assume that if cold fusion is fusion, then it is not the case that socialism produces a huge shift in wealth followed by stagnation.', 'The statement that states cold fusion is fusion is right.']","One may reasonably assume that if cold fusion is fusion, then it is not the case that socialism produces a huge shift in wealth followed by stagnation. The statement that states cold fusion is fusion is right.",It is not the case that socialism produces a huge shift in wealth followed by stagnation.,It is not true that socialism produces poverty.,Uncertain,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'Socialism produces a huge shift in wealth followed by stagnation.', 1: 'Cold fusion is fusion.'}",1
1993,"['It is a fact that either walkers give babies mobility before they or their parents are ready to handle the responsibility or engineers combine chemistry and engineering to solve problems and find better ways of doing things.', 'If walkers give babies mobility before they or their parents are ready to handle the responsibility, then most countries follow a similar pattern in regards to work permits and resident visas.', 'On the condition that correlated traits are common in nature, it is definitely the case that if engineers combine chemistry and engineering to solve problems and find better ways of doing things, then most countries follow a similar pattern in regards to work permits and resident visas.', ""The statement 'correlated traits are common in nature' can be considered true.""]","It is a fact that either walkers give babies mobility before they or their parents are ready to handle the responsibility or engineers combine chemistry and engineering to solve problems and find better ways of doing things. If walkers give babies mobility before they or their parents are ready to handle the responsibility, then most countries follow a similar pattern in regards to work permits and resident visas. On the condition that correlated traits are common in nature, it is definitely the case that if engineers combine chemistry and engineering to solve problems and find better ways of doing things, then most countries follow a similar pattern in regards to work permits and resident visas. The statement 'correlated traits are common in nature' can be considered true.",It is true that most countries follow a similar pattern in regards to work permits and resident visas.,The claim that most countries follow a similar pattern in regards to work permits and resident visas does not correspond with reality.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. [SC3-1]
Therefore, [0].

[SC3-1]
Modus Ponens: 
If [3], then (If [2], then [0].). 
[3] 
Therefore, If [2], then [0]..","{0: 'Most countries follow a similar pattern in regards to work permits and resident visas.', 1: 'Walkers give babies mobility before they or their parents are ready to handle the responsibility.', 2: 'Engineers combine chemistry and engineering to solve problems and find better ways of doing things.', 3: 'Correlated traits are common in nature.'}",2
1859,"['At least one of two things is true: a grappling hook is a tool, or the claim that most male mandrills have snouts has no merit.', 'We know that either migration increases chances or most euglenids live in freshwater.', 'Assuming migration increases chances, we know that those that suggest a grappling hook is a tool are wrong.', 'Should it be the case that most euglenids live in freshwater, it follows that those that suggest a grappling hook is a tool are wrong.']","At least one of two things is true: a grappling hook is a tool, or the claim that most male mandrills have snouts has no merit. We know that either migration increases chances or most euglenids live in freshwater. Assuming migration increases chances, we know that those that suggest a grappling hook is a tool are wrong. Should it be the case that most euglenids live in freshwater, it follows that those that suggest a grappling hook is a tool are wrong.",The claim that most male mandrills have snouts has no merit.,The statement 'most male mandrills have snouts' can be considered true.,FALSE,"Disjunctive Syllogism: 
Either [1] or (Not [0].). 
Not [1]. [SC2-1]
Therefore, Not [0]..

[SC2-1]
Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Not [1].). 
If [3], then (Not [1].). 
Therefore, Not [1]..","{0: 'Most male mandrills have snouts.', 1: 'A grappling hook is a tool.', 2: 'Migration increases chances.', 3: 'Most euglenids live in freshwater.'}",2
1298,"['We know that at least one of two things is true: an oriental bittersweet is a vine, or power is transient and no human being can be the repository of absolute power.', 'Given that an oriental bittersweet is a vine, it can be inferred that many people use tobacco in one form or another in Canada, and it affects our lives in many ways.', 'We know that either outdoor pet bites Most bites from pets are from dogs or cats or if power is transient and no human being can be the repository of absolute power, then many people use tobacco in one form or another in Canada, and it affects our lives in many ways.', 'We know that the claim that outdoor pet bites Most bites from pets are from dogs or cats is false.']","We know that at least one of two things is true: an oriental bittersweet is a vine, or power is transient and no human being can be the repository of absolute power. Given that an oriental bittersweet is a vine, it can be inferred that many people use tobacco in one form or another in Canada, and it affects our lives in many ways. We know that either outdoor pet bites Most bites from pets are from dogs or cats or if power is transient and no human being can be the repository of absolute power, then many people use tobacco in one form or another in Canada, and it affects our lives in many ways. We know that the claim that outdoor pet bites Most bites from pets are from dogs or cats is false.","It is reasonable to believe that many people use tobacco in one form or another in Canada, and it affects our lives in many ways.",Many people experience weight loss by increasing daily water intake only.,Uncertain,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. [SC3-1]
Therefore, [0].

[SC3-1]
Disjunctive Syllogism: 
Either [3] or (If [2], then [0].). 
Not [3]. 
Therefore, If [2], then [0]..","{0: 'Many people use tobacco in one form or another in Canada, and it affects our lives in many ways.', 1: 'An oriental bittersweet is a vine.', 2: 'Power is transient and no human being can be the repository of absolute power.', 3: 'Outdoor pet bites Most bites from pets are from dogs or cats.'}",2
1553,"['We can assume that wolves live in regions.', ""Whenever it is true that night blooming plants and trees depend on nectar eating bats for pollination, 'if wolves live in regions, then northern cardinals are unusual among temperate-zone birds because both males and females sing' is true."", ""The statement 'night blooming plants and trees depend on nectar eating bats for pollination' is true.""]","We can assume that wolves live in regions. Whenever it is true that night blooming plants and trees depend on nectar eating bats for pollination, 'if wolves live in regions, then northern cardinals are unusual among temperate-zone birds because both males and females sing' is true. The statement 'night blooming plants and trees depend on nectar eating bats for pollination' is true.",The statement that states northern cardinals are unusual among temperate-zone birds because both males and females sing is right.,The statement that states northern cardinals are unusual among temperate-zone birds because both males and females sing is right.,TRUE,"Modus Ponens: 
If [1], then [0]. [SC1-1]
[1] 
Therefore, [0].

[SC1-1]
Modus Ponens: 
If [2], then (If [1], then [0].). 
[2] 
Therefore, If [1], then [0]..","{0: 'Northern cardinals are unusual among temperate-zone birds because both males and females sing.', 1: 'Wolves live in regions.', 2: 'Night blooming plants and trees depend on nectar eating bats for pollination.'}",2
1672,"['Assuming most climates affect biodiversity, we know that the statement that states either sensitization is associated with humid environments or many people are against gay marriage is false.', 'Given that pollen is located on the anthers and needs to relocate to the ovary of the flower, it can be inferred that the statement that states either sensitization is associated with humid environments or many people are against gay marriage is false.', 'Given that it is not true that either most climates affect biodiversity or pollen is located on the anthers and needs to relocate to the ovary of the flower, it can be inferred that receipts are acknowledgment.', ""If it is not true that either most climates affect biodiversity or pollen is located on the anthers and needs to relocate to the ovary of the flower, then the notion that 'receipts are acknowledgment' is untrue.""]","Assuming most climates affect biodiversity, we know that the statement that states either sensitization is associated with humid environments or many people are against gay marriage is false. Given that pollen is located on the anthers and needs to relocate to the ovary of the flower, it can be inferred that the statement that states either sensitization is associated with humid environments or many people are against gay marriage is false. Given that it is not true that either most climates affect biodiversity or pollen is located on the anthers and needs to relocate to the ovary of the flower, it can be inferred that receipts are acknowledgment. If it is not true that either most climates affect biodiversity or pollen is located on the anthers and needs to relocate to the ovary of the flower, then the notion that 'receipts are acknowledgment' is untrue.",The statement that states either sensitization is associated with humid environments or many people are against gay marriage is false.,It is not true that sensitization is clearly a serious and material impairment of health.,Uncertain,"Disjunction Elimination: 
Either [2] or [3]. [SC1-1]
If [2], then (Not (Either [0] or [1].).). 
If [3], then (Not (Either [0] or [1].).). 
Therefore, Not (Either [0] or [1].)..

[SC1-1]
Reductio Ad Absurdum: 
If (Not (Either [2] or [3].).), then [4]. 
If (Not (Either [2] or [3].).), then (Not [4].). 
Therefore, Either [2] or [3]..","{0: 'Sensitization is associated with humid environments.', 1: 'Many people are against gay marriage.', 2: 'Most climates affect biodiversity.', 3: 'Pollen is located on the anthers and needs to relocate to the ovary of the flower.', 4: 'Receipts are acknowledgment.'}",2
1971,"['It is not true that some savannahs have attributes.', ""It is rational to believe that either busters are people or either some savannahs have attributes or the notion that 'health is a state and a process of being and becoming an integrated and whole person' is untrue."", 'It is not the case that busters are people.']",It is not true that some savannahs have attributes. It is rational to believe that either busters are people or either some savannahs have attributes or the notion that 'health is a state and a process of being and becoming an integrated and whole person' is untrue. It is not the case that busters are people.,The notion that 'health is a state and a process of being and becoming an integrated and whole person' is untrue.,The notion that 'health is a state and a process of being and becoming an integrated and whole person' is untrue.,TRUE,"Disjunctive Syllogism: 
Either [1] or (Not [0].). [SC1-1]
Not [1]. 
Therefore, Not [0]..

[SC1-1]
Disjunctive Syllogism: 
Either [2] or (Either [1] or (Not [0].).). 
Not [2]. 
Therefore, Either [1] or (Not [0].)..","{0: 'Health is a state and a process of being and becoming an integrated and whole person.', 1: 'Some savannahs have attributes.', 2: 'Busters are people.'}",2
1027,"['We know that at least one of two things is true: spiders use camouflage to blend in with colors and patterns, or those that suggest water quality has several different meanings are wrong.', 'We know that either salvation is achieved by detachment from the finite self and attachment to reality as a whole or most colored gemstones derive their beauty from their color.', ""So long as salvation is achieved by detachment from the finite self and attachment to reality as a whole, 'it is not true that spiders use camouflage to blend in with colors and patterns' is true."", 'On the condition that most colored gemstones derive their beauty from their color, it is definitely the case that it is not true that spiders use camouflage to blend in with colors and patterns.']","We know that at least one of two things is true: spiders use camouflage to blend in with colors and patterns, or those that suggest water quality has several different meanings are wrong. We know that either salvation is achieved by detachment from the finite self and attachment to reality as a whole or most colored gemstones derive their beauty from their color. So long as salvation is achieved by detachment from the finite self and attachment to reality as a whole, 'it is not true that spiders use camouflage to blend in with colors and patterns' is true. On the condition that most colored gemstones derive their beauty from their color, it is definitely the case that it is not true that spiders use camouflage to blend in with colors and patterns.",Those that suggest water quality has several different meanings are wrong.,The claim that water quality is also related to larger patterns of land use over entire watersheds is false.,Uncertain,"Disjunctive Syllogism: 
Either [1] or (Not [0].). 
Not [1]. [SC2-1]
Therefore, Not [0]..

[SC2-1]
Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Not [1].). 
If [3], then (Not [1].). 
Therefore, Not [1]..","{0: 'Water quality has several different meanings.', 1: 'Spiders use camouflage to blend in with colors and patterns.', 2: 'Salvation is achieved by detachment from the finite self and attachment to reality as a whole.', 3: 'Most colored gemstones derive their beauty from their color.'}",2
1231,"['When legumes are a crucial source of protein for humans and forage food for animals is true, it follows that fast calculators are helpless in closed positions, in which they move their pieces like zombies.', ""We know that at least one of two things is true: love is nature's way of making people miserable, or crocodiles float in habitats."", ""If love is nature's way of making people miserable, then it is not true that fast calculators are helpless in closed positions, in which they move their pieces like zombies."", ""Whenever it is true that crocodiles float in habitats, 'it is not true that fast calculators are helpless in closed positions, in which they move their pieces like zombies' is true.""]","When legumes are a crucial source of protein for humans and forage food for animals is true, it follows that fast calculators are helpless in closed positions, in which they move their pieces like zombies. We know that at least one of two things is true: love is nature's way of making people miserable, or crocodiles float in habitats. If love is nature's way of making people miserable, then it is not true that fast calculators are helpless in closed positions, in which they move their pieces like zombies. Whenever it is true that crocodiles float in habitats, 'it is not true that fast calculators are helpless in closed positions, in which they move their pieces like zombies' is true.",The notion that 'legumes are a crucial source of protein for humans and forage food for animals' is untrue.,Those that suggest legumes are a crucial source of protein for humans and forage food for animals are right.,FALSE,"Modus Tonens: 
If [0], then [1]. 
Not [1]. [SC2-1]
Therefore, Not [0]..

[SC2-1]
Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Not [1].). 
If [3], then (Not [1].). 
Therefore, Not [1]..","{0: 'Legumes are a crucial source of protein for humans and forage food for animals.', 1: 'Fast calculators are helpless in closed positions, in which they move their pieces like zombies.', 2: ""Love is nature's way of making people miserable."", 3: 'Crocodiles float in habitats.'}",2
1306,"['Provided that it is a common misconception that neutrinos are very difficult to detect, we know that some jaws adapt for hard nuts.', 'It is a fact that either families can suffer while parents struggle with low-paying jobs or orangutans have (part) cell membranes.', 'Assuming families can suffer while parents struggle with low-paying jobs, we know that the claim that some jaws adapt for hard nuts is false.', ""Whenever it is true that orangutans have (part) cell membranes, 'the claim that some jaws adapt for hard nuts is false' is true.""]","Provided that it is a common misconception that neutrinos are very difficult to detect, we know that some jaws adapt for hard nuts. It is a fact that either families can suffer while parents struggle with low-paying jobs or orangutans have (part) cell membranes. Assuming families can suffer while parents struggle with low-paying jobs, we know that the claim that some jaws adapt for hard nuts is false. Whenever it is true that orangutans have (part) cell membranes, 'the claim that some jaws adapt for hard nuts is false' is true.",We can assume that neutrinos are very difficult to detect.,Neutrinos originate in nuclear reactions and in the core of stars such as our sun.,Uncertain,"Modus Tonens: 
If (Not [0].), then [1]. 
Not [1]. [SC2-1]
Therefore, [0].

[SC2-1]
Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Not [1].). 
If [3], then (Not [1].). 
Therefore, Not [1]..","{0: 'Neutrinos are very difficult to detect.', 1: 'Some jaws adapt for hard nuts.', 2: 'Families can suffer while parents struggle with low-paying jobs.', 3: 'Orangutans have (part) cell membranes.'}",2
1706,"['The claim that golden rules are teaching does not reflect reality.', 'If recessional moraines mark intermediate advances, then either golden rules are teaching or women suffer in the hands of men.', 'The statement that states recessional moraines mark intermediate advances is right.']","The claim that golden rules are teaching does not reflect reality. If recessional moraines mark intermediate advances, then either golden rules are teaching or women suffer in the hands of men. The statement that states recessional moraines mark intermediate advances is right.",It is true that women suffer in the hands of men.,Women have the ability to control when and if they get pregnant.,Uncertain,"Disjunctive Syllogism: 
Either [1] or [0]. [SC1-1]
Not [1]. 
Therefore, [0].

[SC1-1]
Modus Ponens: 
If [2], then (Either [1] or [0].). 
[2] 
Therefore, Either [1] or [0]..","{0: 'Women suffer in the hands of men.', 1: 'Golden rules are teaching.', 2: 'Recessional moraines mark intermediate advances.'}",2
1496,"['Either ingestion can result in gas embolism due to the formation of hydrogen or human motion is governed by the kinematic constraints of the skeleton.', ""So long as human motion is governed by the kinematic constraints of the skeleton, 'if most open mouths make sound, then desirability is a gamma function' is true."", ""Whenever it is true that the claim that if ingestion can result in gas embolism due to the formation of hydrogen, then if most open mouths make sound, then desirability is a gamma function does not correspond with reality, 'either biliary atresia is a rare disorder of infancy or some creatures share habitats' is true."", 'It is not the case that either biliary atresia is a rare disorder of infancy or some creatures share habitats.']","Either ingestion can result in gas embolism due to the formation of hydrogen or human motion is governed by the kinematic constraints of the skeleton. So long as human motion is governed by the kinematic constraints of the skeleton, 'if most open mouths make sound, then desirability is a gamma function' is true. Whenever it is true that the claim that if ingestion can result in gas embolism due to the formation of hydrogen, then if most open mouths make sound, then desirability is a gamma function does not correspond with reality, 'either biliary atresia is a rare disorder of infancy or some creatures share habitats' is true. It is not the case that either biliary atresia is a rare disorder of infancy or some creatures share habitats.","Assuming most open mouths make sound, we know that desirability is a gamma function.","The claim that if most open mouths make sound, then desirability is a gamma function has no merit.",FALSE,"Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (If [0], then [1].). [SC2-1]
If [3], then (If [0], then [1].). 
Therefore, If [0], then [1]..

[SC2-1]
Modus Tonens: 
If (Not (If [2], then (If [0], then [1].).).), then (Either [4] or [5].). 
Not (Either [4] or [5].). 
Therefore, If [2], then (If [0], then [1].)..","{0: 'Most open mouths make sound.', 1: 'Desirability is a gamma function.', 2: 'Ingestion can result in gas embolism due to the formation of hydrogen.', 3: 'Human motion is governed by the kinematic constraints of the skeleton.', 4: 'Biliary atresia is a rare disorder of infancy.', 5: 'Some creatures share habitats.'}",2
1558,"[""It is a fact that either exposure damages eyes or the statement that 'hair absorbs all the things found in water, which sometimes include water-purifying chemicals' is incorrect."", 'Provided that exposure damages eyes, we know that most rats carry fleas.', 'It is not the case that most rats carry fleas.']","It is a fact that either exposure damages eyes or the statement that 'hair absorbs all the things found in water, which sometimes include water-purifying chemicals' is incorrect. Provided that exposure damages eyes, we know that most rats carry fleas. It is not the case that most rats carry fleas.","The statement that 'hair absorbs all the things found in water, which sometimes include water-purifying chemicals' is incorrect.","It is a simple truth that hair absorbs all the things found in water, which sometimes include water-purifying chemicals.",FALSE,"Disjunctive Syllogism: 
Either [1] or (Not [0].). 
Not [1]. [SC2-1]
Therefore, Not [0]..

[SC2-1]
Modus Tonens: 
If [1], then [2]. 
Not [2]. 
Therefore, Not [1]..","{0: 'Hair absorbs all the things found in water, which sometimes include water-purifying chemicals.', 1: 'Exposure damages eyes.', 2: 'Most rats carry fleas.'}",2
1784,"['It is rational to believe that either many household products contain the same chemicals produced and used by industry or if gray birch is birch, then product development means innovation in technology and design.', ""Either if small openings connect the sinuses to the nasal cavity, then dopamine neurons make glutamatergic synapses in vitro or the statement 'many household products contain the same chemicals produced and used by industry' can be considered false."", 'The statement that states if small openings connect the sinuses to the nasal cavity, then dopamine neurons make glutamatergic synapses in vitro is false.']","It is rational to believe that either many household products contain the same chemicals produced and used by industry or if gray birch is birch, then product development means innovation in technology and design. Either if small openings connect the sinuses to the nasal cavity, then dopamine neurons make glutamatergic synapses in vitro or the statement 'many household products contain the same chemicals produced and used by industry' can be considered false. The statement that states if small openings connect the sinuses to the nasal cavity, then dopamine neurons make glutamatergic synapses in vitro is false.","Given that gray birch is birch, it can be inferred that product development means innovation in technology and design.","We know that the claim that if gray birch is birch, then product development means innovation in technology and design is false.",FALSE,"Disjunctive Syllogism: 
Either [2] or (If [0], then [1].). 
Not [2]. [SC2-1]
Therefore, If [0], then [1]..

[SC2-1]
Disjunctive Syllogism: 
Either (If [3], then [4].) or (Not [2].). 
Not (If [3], then [4].). 
Therefore, Not [2]..","{0: 'Gray birch is birch.', 1: 'Product development means innovation in technology and design.', 2: 'Many household products contain the same chemicals produced and used by industry.', 3: 'Small openings connect the sinuses to the nasal cavity.', 4: 'Dopamine neurons make glutamatergic synapses in vitro.'}",2
1239,"[""The statement that 'trees require a large leaf surface area to provide food for maintenance and growth' is incorrect."", 'On the condition that king cobras swallow struggle prey, it is definitely the case that managers advise sale representatives.', 'If managers advise sale representatives, then trees require a large leaf surface area to provide food for maintenance and growth.']","The statement that 'trees require a large leaf surface area to provide food for maintenance and growth' is incorrect. On the condition that king cobras swallow struggle prey, it is definitely the case that managers advise sale representatives. If managers advise sale representatives, then trees require a large leaf surface area to provide food for maintenance and growth.",Those that suggest king cobras swallow struggle prey are wrong.,Those that suggest king cobras swallow struggle prey are wrong.,TRUE,"Modus Tonens: 
If [0], then [1]. [SC1-1]
Not [1]. 
Therefore, Not [0]..

[SC1-1]
Hypothetical Syllogism: 
If [0], then [2]. 
If [2], then [1]. 
Therefore, If [0], then [1]..","{0: 'King cobras swallow struggle prey.', 1: 'Trees require a large leaf surface area to provide food for maintenance and growth.', 2: 'Managers advise sale representatives.'}",2
1578,"['Assuming corals are the second most productive ecosystem behind rainforests, we know that it is not the case that some soil compaction decreases soil aeration.', 'Assuming pond pine is a scattered, overlooked native pine which is often confused with loblolly pine, we know that it is not the case that some soil compaction decreases soil aeration.', 'There is good reason to believe that either if some atmospheres produce ozones, then patterns show effects or angolan isa someone.', 'When if some atmospheres produce ozones, then patterns show effects is true, it follows that either corals are the second most productive ecosystem behind rainforests or pond pine is a scattered, overlooked native pine which is often confused with loblolly pine.', 'When angolan isa someone is true, it follows that either corals are the second most productive ecosystem behind rainforests or pond pine is a scattered, overlooked native pine which is often confused with loblolly pine.']","Assuming corals are the second most productive ecosystem behind rainforests, we know that it is not the case that some soil compaction decreases soil aeration. Assuming pond pine is a scattered, overlooked native pine which is often confused with loblolly pine, we know that it is not the case that some soil compaction decreases soil aeration. There is good reason to believe that either if some atmospheres produce ozones, then patterns show effects or angolan isa someone. When if some atmospheres produce ozones, then patterns show effects is true, it follows that either corals are the second most productive ecosystem behind rainforests or pond pine is a scattered, overlooked native pine which is often confused with loblolly pine. When angolan isa someone is true, it follows that either corals are the second most productive ecosystem behind rainforests or pond pine is a scattered, overlooked native pine which is often confused with loblolly pine.",It is not the case that some soil compaction decreases soil aeration.,It is fair to say that some soil compaction decreases soil aeration.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. [SC1-1]
If [1], then (Not [0].). 
If [2], then (Not [0].). 
Therefore, Not [0]..

[SC1-1]
Disjunction Elimination: 
Either (If [3], then [4].) or [5]. 
If (If [3], then [4].), then (Either [1] or [2].). 
If [5], then (Either [1] or [2].). 
Therefore, Either [1] or [2]..","{0: 'Some soil compaction decreases soil aeration.', 1: 'Corals are the second most productive ecosystem behind rainforests.', 2: 'Pond pine is a scattered, overlooked native pine which is often confused with loblolly pine.', 3: 'Some atmospheres produce ozones.', 4: 'Patterns show effects.', 5: 'Angolan isa someone.'}",2
1055,"['It is a fact that either if data integrity is critical to the reliability of agent-based systems, then plastic is a class of thermoplastic terpolymers including a range of resins or control structures are special instructions that can change the flow of control.', 'One may reasonably assume that if control structures are special instructions that can change the flow of control, then operational efficiency is critical to creating places and projects that succeed.', 'When if data integrity is critical to the reliability of agent-based systems, then plastic is a class of thermoplastic terpolymers including a range of resins is true, it follows that greek organizations offer many people a family away from home.', 'If greek organizations offer many people a family away from home, then operational efficiency is critical to creating places and projects that succeed.']","It is a fact that either if data integrity is critical to the reliability of agent-based systems, then plastic is a class of thermoplastic terpolymers including a range of resins or control structures are special instructions that can change the flow of control. One may reasonably assume that if control structures are special instructions that can change the flow of control, then operational efficiency is critical to creating places and projects that succeed. When if data integrity is critical to the reliability of agent-based systems, then plastic is a class of thermoplastic terpolymers including a range of resins is true, it follows that greek organizations offer many people a family away from home. If greek organizations offer many people a family away from home, then operational efficiency is critical to creating places and projects that succeed.",operational efficiency is critical to creating places and projects that succeed.,"The statement, operational efficiency is critical to creating places and projects that succeed, does not hold.",FALSE,"Disjunction Elimination: 
Either (If [1], then [2].) or [3]. 
If (If [1], then [2].), then [0]. [SC2-1]
If [3], then [0]. 
Therefore, [0].

[SC2-1]
Hypothetical Syllogism: 
If (If [1], then [2].), then [4]. 
If [4], then [0]. 
Therefore, If (If [1], then [2].), then [0]..","{0: 'Operational efficiency is critical to creating places and projects that succeed.', 1: 'Data integrity is critical to the reliability of agent-based systems.', 2: 'Plastic is a class of thermoplastic terpolymers including a range of resins.', 3: 'Control structures are special instructions that can change the flow of control.', 4: 'Greek organizations offer many people a family away from home.'}",2
1906,"[""So long as if xenon induces robust cardioprotection and neuroprotection through a variety of mechanisms, then periodical cicadas have a higher-pitched sound and sing during the day, 'blood meal is a rich source of nitrogen that is quickly available, so use with care' is true."", ""One may reasonably assume that if biosynthesis is catalysed by enzymes, production of which is directed by the cell's genes, then if xenon induces robust cardioprotection and neuroprotection through a variety of mechanisms, then periodical cicadas have a higher-pitched sound and sing during the day."", ""Those that suggest biosynthesis is catalysed by enzymes, production of which is directed by the cell's genes are right.""]","So long as if xenon induces robust cardioprotection and neuroprotection through a variety of mechanisms, then periodical cicadas have a higher-pitched sound and sing during the day, 'blood meal is a rich source of nitrogen that is quickly available, so use with care' is true. One may reasonably assume that if biosynthesis is catalysed by enzymes, production of which is directed by the cell's genes, then if xenon induces robust cardioprotection and neuroprotection through a variety of mechanisms, then periodical cicadas have a higher-pitched sound and sing during the day. Those that suggest biosynthesis is catalysed by enzymes, production of which is directed by the cell's genes are right.","The claim that blood meal is a rich source of nitrogen that is quickly available, so use with care holds true.","The claim that blood meal is a rich source of nitrogen that is quickly available, so use with care holds true.",TRUE,"Modus Ponens: 
If (If [1], then [2].), then [0]. 
If [1], then [2]. [SC2-1]
Therefore, [0].

[SC2-1]
Modus Ponens: 
If [3], then (If [1], then [2].). 
[3] 
Therefore, If [1], then [2]..","{0: 'Blood meal is a rich source of nitrogen that is quickly available, so use with care.', 1: 'Xenon induces robust cardioprotection and neuroprotection through a variety of mechanisms.', 2: 'Periodical cicadas have a higher-pitched sound and sing during the day.', 3: ""Biosynthesis is catalysed by enzymes, production of which is directed by the cell's genes.""}",2
1175,"['Assuming appetite suppressants are only a short-term solution for the treatment of obesity, we know that businesses are the largest consumers of computer services products.', 'Assuming we know that the claim that appetite suppressants are only a short-term solution for the treatment of obesity is false, we know that if thieves have (part) body substances, then net speed involves the entire context of dot com hiring needs, growth cycles, time to market.', ""Whenever it is true that we know that the claim that appetite suppressants are only a short-term solution for the treatment of obesity is false, 'the statement, if thieves have (part) body substances, then net speed involves the entire context of dot com hiring needs, growth cycles, time to market, does not hold' is true.""]","Assuming appetite suppressants are only a short-term solution for the treatment of obesity, we know that businesses are the largest consumers of computer services products. Assuming we know that the claim that appetite suppressants are only a short-term solution for the treatment of obesity is false, we know that if thieves have (part) body substances, then net speed involves the entire context of dot com hiring needs, growth cycles, time to market. Whenever it is true that we know that the claim that appetite suppressants are only a short-term solution for the treatment of obesity is false, 'the statement, if thieves have (part) body substances, then net speed involves the entire context of dot com hiring needs, growth cycles, time to market, does not hold' is true.",Those that suggest businesses are the largest consumers of computer services products are right.,Those that suggest businesses are the largest consumers of computer services products are right.,TRUE,"Modus Ponens: 
If [1], then [0]. 
[1] [SC2-1]
Therefore, [0].

[SC2-1]
Reductio Ad Absurdum: 
If (Not [1].), then (If [2], then [3].). 
If (Not [1].), then (Not (If [2], then [3].).). 
Therefore, [1].","{0: 'Businesses are the largest consumers of computer services products.', 1: 'Appetite suppressants are only a short-term solution for the treatment of obesity.', 2: 'Thieves have (part) body substances.', 3: 'Net speed involves the entire context of dot com hiring needs, growth cycles, time to market.'}",2
1014,"['Given that we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, it can be inferred that it is not true that heat is lost through surface area.', 'Either asterisks are software or some aphids are important vectors of plant diseases.', 'If asterisks are software, then if we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, then heat is lost through surface area.', 'When some aphids are important vectors of plant diseases is true, it follows that if we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, then heat is lost through surface area.']","Given that we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, it can be inferred that it is not true that heat is lost through surface area. Either asterisks are software or some aphids are important vectors of plant diseases. If asterisks are software, then if we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, then heat is lost through surface area. When some aphids are important vectors of plant diseases is true, it follows that if we know that the claim that friction stimulates the genitals and causes the male to ejaculate is false, then heat is lost through surface area.",It is true that friction stimulates the genitals and causes the male to ejaculate.,Friction occurs when two bodies rub against each other.,Uncertain,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. [SC1-1]
If (Not [0].), then (Not [1].). 
Therefore, [0].

[SC1-1]
Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (If (Not [0].), then [1].). 
If [3], then (If (Not [0].), then [1].). 
Therefore, If (Not [0].), then [1]..","{0: 'Friction stimulates the genitals and causes the male to ejaculate.', 1: 'Heat is lost through surface area.', 2: 'Asterisks are software.', 3: 'Some aphids are important vectors of plant diseases.'}",2
